Linux 5.15.0-131-generic (node0.parthaw-244324.hyflowtm-pg0.wisc.cloudlab.us) 	03/01/2025 	_x86_64_	(40 CPU)

10:43:35 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:05:45 PM 186530360 187215092   5772272      2.94     85892   3815816  31353140     15.29    387256   7768416        44
11:05:55 PM 186507180 187192120   5795176      2.95     85908   3816164  31385012     15.31    387264   7794092       312
11:06:05 PM 192417668 193101492   2050088      1.04     85928   1684952   2947044      1.44    387324   2022644         0
11:06:15 PM 187734488 188421040   5279020      2.68     86120   3105868  30124668     14.69    387700   6667616       476
11:06:25 PM 187093552 187780720   5464868      2.78     86136   3559208  30961492     15.10    387716   7282900       260
11:06:35 PM 186814216 187501640   5633092      2.86     86156   3669572  31149340     15.19    387732   7524784       220
11:06:45 PM 186752008 187439580   5695088      2.90     86172   3669704  31232084     15.23    387752   7590240       196
11:06:55 PM 186711676 187399408   5734936      2.92     86188   3669840  31276912     15.25    387768   7639592       252
11:07:05 PM 186742228 187430108   5703836      2.90     86204   3669980  31240772     15.23    387784   7618216       240
11:07:15 PM 186718372 187406660   5727640      2.91     86220   3670364  31241852     15.24    387800   7615608       140
11:07:25 PM 186569428 187258036   5761080      2.93     86236   3785308  31399624     15.31    387816   7789440       184
11:07:35 PM 186494672 187183424   5835684      2.97     86252   3785440  31465320     15.34    387832   7864692       108
11:07:45 PM 186436848 187125752   5893452      3.00     86268   3785576  31520060     15.37    388388   7915760       112
11:07:55 PM 186415340 187104396   5914600      3.01     86284   3785728  31518880     15.37    388404   7918012       156
11:08:05 PM 186405064 187094288   5924712      3.01     86320   3785856  31511372     15.37    388432   7912204       188
11:08:15 PM 186404092 187093884   5924892      3.01     86404   3786336  31512692     15.37    388516   7922008       248
11:08:25 PM 186389136 187079112   5939708      3.02     86444   3786468  31520692     15.37    388564   7926756       196
11:08:35 PM 186351840 187041992   5976792      3.04     86476   3786612  31539508     15.38    388596   7956616       188
