procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 187573344  85084 3188888    0    0     0    86 15976 39214  6  1 93  0  0
 1  0      0 187604496  85108 3192860    0    0     0   114 16197 40525  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 187616016  85124 3193392    0    0     0   137 16110 39030  6  1 93  0  0
 1  0      0 187627120  85140 3193596    0    0     0   158 16152 39668  6  1 93  0  0
 3  0      0 187592592  85156 3193776    0    0     0   101 16096 39376  6  1 93  0  0
 5  0      0 187583312  85172 3193980    0    0     0   111 16041 39586  6  1 93  0  0
 1  0      0 192473968  85228 1856008    0    0     0   116 14076 31526  5  2 93  0  0
 4  0      0 187659840  85396 3350868    0    0     0   266 12549 31396 26  4 70  0  0
 2  0      0 187144496  85412 3755100    0    0     0   116 15151 34548  5  1 94  0  0
 4  0      0 186992416  85432 3840616    0    0     0    89 15426 35231  5  1 94  0  0
 1  0      0 186959632  85448 3840736    0    0     0    88 15438 34481  5  1 94  0  0
 2  0      0 186874640  85464 3840852    0    0     0    86 15468 34649  5  1 94  0  0
 2  0      0 186838944  85480 3877856    0    0     0    73 15456 34891  5  1 94  0  0
 3  0      0 186814592  85496 3878240    0    0     0   114 15427 34602  5  1 94  0  0
 5  0      0 186737888  85512 3909624    0    0     0    66 15388 34363  5  1 94  0  0
 2  0      0 186665840  85528 3909756    0    0     0    82 15456 35046  5  1 94  0  0
 1  0      0 186626208  85544 3909884    0    0     0    81 15358 34279  5  1 94  0  0
 1  0      0 186638464  85560 3910036    0    0     0    80 15357 34495  5  1 94  0  0
 4  0      0 186655184  85576 3910136    0    0     0    90 15239 33678  5  1 94  0  0
 2  0      0 186620256  85616 3925468    0    0     0   149 15324 34236  5  1 94  0  0
 3  0      0 186591808  85684 3925600    0    0     0    96 15461 34252  5  1 94  0  0
 1  0      0 186535360  85740 3925756    0    0     0   113 15367 34264  5  1 94  0  0
 5  0      0 186442384  85772 3994016    0    0     0   110 15343 34437  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 186458080  85788 3994148    0    0     0   103 15252 33883  5  1 94  0  0
 3  0      0 186563344  85804 3994272    0    0     0   112 15581 35154  5  1 93  0  0
 2  0      0 186622032  85820 3994776    0    0     0   160 15345 34033  5  1 94  0  0
 3  0      0 186568336  85836 3996440    0    0     0   110 15278 33960  5  1 94  0  0
 3  0      0 186540368  85852 3996584    0    0     0    99 15107 33127  5  1 94  0  0
 2  0      0 186537552  85868 3996696    0    0     0    68 15359 34280  5  1 94  0  0
 3  0      0 186541728  85884 3996820    0    0     0    93 15203 33876  5  1 94  0  0
 1  0      0 186505984  85900 3996952    0    0     0    94 15148 33778  5  1 94  0  0
 2  0      0 186480544  85916 3997344    0    0     0   132 15282 34075  5  1 94  0  0
43  0      0 191360512  85964 1862732    0    0     0   123 9759 17904  7  3 90  0  0
 1  0      0 187439552  86120 3509496    0    0     0   277 17665 42467 23  4 73  0  0
 3  0      0 187013120  86136 3740644    0    0     0    95 15271 35438  5  1 94  0  0
 2  0      0 186842592  86156 3851280    0    0     0    78 15520 35819  5  1 94  0  0
 2  0      0 186745792  86172 3851428    0    0     0    81 15607 35809  5  1 94  0  0
 3  0      0 186726976  86196 3851564    0    0     0    91 15724 35941  5  1 94  0  0
 3  0      0 186723840  86212 3851756    0    0     0    72 15587 35411  5  1 94  0  0
 3  0      0 186587584  86228 3967168    0    0     0   129 15594 35716  5  1 94  0  0
 2  0      0 186551664  86244 3967324    0    0     0    92 15535 35197  5  1 94  0  0
 3  0      0 186482032  86260 3967456    0    0     0    81 15591 35085  5  1 94  0  0
 3  0      0 186446832  86276 3967596    0    0     0    82 15597 35319  5  1 94  0  0
 1  0      0 186418400  86292 3967732    0    0     0    85 15488 35356  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 186408752  86348 3967928    0    0     0    96 15480 35509  5  1 94  0  0
 1  0      0 186395968  86428 3968348    0    0     0   134 15511 35160  5  1 94  0  0
 4  0      0 186373248  86464 3968484    0    0     0   114 15420 34454  5  1 94  0  0
 4  0      0 186347648  86488 3968652    0    0     0   114 15425 34996  5  1 94  0  0
 4  0      0 186400176  86504 3968776    0    0     0   125 15390 34737  5  1 94  0  0
 1  0      0 186452016  86520 3968912    0    0     0    95 15452 34985  5  1 94  0  0
 5  0      0 186446496  86536 3969100    0    0     0   111 15462 34984  5  1 94  0  0
 6  0      0 186406736  86552 3969536    0    0     0   160 15483 34893  5  1 94  0  0
 4  0      0 186375536  86568 3969668    0    0     0    97 15564 35071  5  1 94  0  0
 3  0      0 186383728  86584 3969808    0    0     0    72 15432 34706  5  1 94  0  0
 5  0      0 186364272  86600 3969940    0    0     0   106 15466 34868  5  1 94  0  0
60  0      0 189088512  86760 1983968    0    0     4   159 9375 16275 16  4 80  0  0
 5  0      0 186704512  86808 3930068    0    0     0   176 20893 80946 15  5 80  0  0
 3  0      0 186658336  86828 3935052    0    0     0    86 23914 76905  6  3 91  0  0
 3  0      0 186570400  86844 3934680    0    0     0    60 21594 76569  6  3 91  0  0
 8  0      0 186469056  86860 4002220    0    0     0    92 23627 73834  6  3 91  0  0
 1  0      0 186322592  86876 4047744    0    0     0    74 22404 80600  6  3 91  0  0
 2  0      0 186308832  86892 4048868    0    0     0    71 24136 76921  6  3 91  0  0
 3  0      0 186373040  86908 4047768    0    0     0   118 24287 77968  6  3 91  0  0
 2  0      0 186187376  86924 4125680    0    0     0    90 20837 77280  6  3 91  0  0
 8  0      0 186135520  86940 4125904    0    0     0    81 20945 81173  6  3 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 186207712  86956 4125864    0    0     0    65 26147 78213  6  3 91  0  0
 2  0      0 186113952  86972 4125360    0    0     0    82 21831 77405  6  3 91  0  0
 5  0      0 186132784  86992 4126648    0    0     0    76 23990 78020  6  3 91  0  0
 2  0      0 186024176  87008 4125980    0    0     0   131 20739 81086  6  3 91  0  0
 8  0      0 185852240  87024 4267604    0    0     0    76 25595 77175  6  3 91  0  0
 8  0      0 185939600  87040 4267824    0    0     0    77 23736 77964  6  3 91  0  0
 2  0      0 185860672  87056 4267772    0    0     0    55 21645 78638  6  3 91  0  0
 2  0      0 185874240  87084 4268080    0    0     0    73 24472 80155  6  3 91  0  0
 6  0      0 185885888  87152 4267752    0    0     0    82 21628 76667  6  3 91  0  0
 5  0      0 185807680  87204 4268104    0    0     0   142 22836 76876  6  3 91  0  0
 5  0      0 185739584  87228 4268352    0    0     0    91 22911 76704  6  3 91  0  0
 1  0      0 185796096  87264 4268056    0    0     0    84 24323 81125  6  3 91  0  0
 3  0      0 185789952  87280 4268248    0    0     0    92 20751 75485  6  3 91  0  0
 6  0      0 185853728  87296 4269032    0    0     0    90 23669 75355  6  3 91  0  0
 2  0      0 185879840  87312 4268656    0    0     0   100 22056 79051  6  3 91  0  0
 6  0      0 185965104  87328 4269080    0    0     0   127 23310 75188  6  3 91  0  0
 2  0      0 185971760  87344 4269240    0    0     0    86 22059 78624  6  3 91  0  0
 1  0      0 185857536  87360 4360556    0    0     0    82 24333 79158  6  3 91  0  0
 3  0      0 185824592  87376 4360532    0    0     0    84 20623 77896  6  3 91  0  0
 4  0      0 185870256  87392 4361084    0    0     0    87 22636 78439  6  3 91  0  0
 2  0      0 185781952  87408 4361012    0    0     0    86 22256 75522  6  3 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 185811392  87424 4361192    0    0     0   156 21182 76258  6  3 91  0  0
 5  0      0 185785872  87444 4361652    0    0     0    91 20822 77266  6  3 91  0  0
 4  0      0 185709568  87460 4362068    0    0     0    73 24128 72068  5  3 92  0  0
 4  0      0 185769536  87476 4361448    0    0     0    84 21463 77824  6  3 91  0  0
 3  0      0 192145328  87532 1879012    0    0     0    77 10036 31742  3  4 93  0  0
 6  0      0 186897184  87692 3723264    0    0     0   197 24514 74185 27  6 66  0  0
 2  0      0 186387984  87716 4126924    0    0     0   100 21096 77128  5  3 91  0  0
 3  0      0 186251776  87736 4127704    0    0     0    88 22716 76809  6  3 91  0  0
 3  0      0 186181600  87752 4127292    0    0     0    68 20758 78914  6  3 91  0  0
 5  0      0 186037072  87768 4128248    0    0     0    71 23111 77188  6  3 91  0  0
 3  0      0 185950304  87784 4127456    0    0     0    73 23272 79372  6  3 91  0  0
