Linux 5.15.0-131-generic (node0.parthaw-241019.hyflowtm-pg0.wisc.cloudlab.us) 	02/11/2025 	_x86_64_	(40 CPU)

02:02:22 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
03:34:22 PM 183433652 192071652   2930848      1.49    182292   9434248   3554356      1.73    911580  10127144       196
03:35:22 PM 183437968 192076036   2926312      1.49    182356   9434252   3554356      1.73    911644  10127176         4
03:36:22 PM 183437912 192076028   2926260      1.49    182396   9434260   3554356      1.73    911684  10127236       152
03:37:22 PM 183438192 192076348   2925928      1.49    182436   9434260   3558540      1.74    911724  10128780         4
03:38:22 PM 183437532 192075744   2926312      1.49    182488   9434264   3554356      1.73    911776  10127324        28
03:39:22 PM 183437812 192076068   2926072      1.49    182528   9434268   3556448      1.73    911816  10128900         4
03:40:22 PM 183436240 192074552   2927600      1.49    182592   9434276   3554356      1.73    911864  10127312       176
03:41:22 PM 183435576 192073952   2928024      1.49    182632   9434284   3554356      1.73    911920  10127320       148
03:42:22 PM 183435720 192074140   2927840      1.49    182672   9434288   3554356      1.73    911960  10127348         4
03:43:22 PM 183436264 192074728   2927140      1.49    182712   9434296   3554356      1.73    912000  10127356         8
03:44:22 PM 183436556 192075072   2926580      1.49    182752   9434304   3554356      1.73    912040  10127340       148
03:45:22 PM 183431452 192070032   2931820      1.49    182816   9434304   3554356      1.73    912108  10127360         4
03:46:22 PM 183432332 192070976   2930956      1.49    182880   9434304   3554356      1.73    912172  10127364        28
03:47:22 PM 183431684 192070356   2931552      1.49    182912   9434308   3558748      1.74    912200  10129584       128
03:48:22 PM 183431972 192070692   2931272      1.49    182952   9434308   3554356      1.73    912244  10127368         4
03:49:22 PM 183432300 192071064   2930860      1.49    183000   9434312   3554356      1.73    912284  10127372        28
03:50:22 PM 183427724 192066536   2935236      1.49    183032   9434320   3554356      1.73    912324  10127348         4
03:51:22 PM 183428032 192066900   2934944      1.49    183088   9434328   3554356      1.73    912372  10127384        28
03:52:22 PM 183428108 192067016   2934828      1.49    183120   9434328   3554356      1.73    912412  10127384         4
03:53:22 PM 183428688 192067636   2934268      1.49    183160   9434328   3554356      1.73    912452  10127384         4
03:54:22 PM 183428304 192067296   2934340      1.49    183200   9434332   3558540      1.74    912496  10129360       168
03:55:22 PM 183428868 192067908   2934004      1.49    183248   9434332   3554356      1.73    912540  10127364         4
03:56:22 PM 183429524 192068616   2933408      1.49    183296   9434336   3554356      1.73    912588  10127396         4
03:57:22 PM 183429856 192068988   2933244      1.49    183336   9434336   3554356      1.73    912628  10127396         4
03:58:22 PM 183430644 192069812   2932344      1.49    183376   9434332   3554356      1.73    912660  10127396         4
03:59:22 PM 183430396 192069608   2932440      1.49    183408   9434344   3554356      1.73    912700  10127376       152
04:00:22 PM 183429548 192068812   2933236      1.49    183456   9434348   3554356      1.73    912748  10127404         4
04:01:22 PM 183430576 192069888   2932148      1.49    183512   9434348   3554356      1.73    912796  10127300        28
04:02:22 PM 183430372 192069740   2932304      1.49    183560   9434356   3560632      1.74    912848  10130684         8
04:03:22 PM 183430876 192070284   2931736      1.49    183600   9434356   3558540      1.74    912892  10130824         8
04:04:22 PM 183432016 192071464   2930468      1.49    183640   9434356   3556448      1.73    912928  10129036        20
04:05:22 PM 183432028 192071528   2930332      1.49    183688   9434360   3554356      1.73    912972  10127416        28
04:06:22 PM 183426828 192066392   2935572      1.49    183752   9434364   3558540      1.74    913040  10129480       168
04:07:22 PM 183425920 192065572   2936264      1.49    183824   9434368   3556448      1.73    913120  10129060       232
04:08:22 PM 183424268 192064004   2938024      1.49    183896   9434380   3556448      1.73    913196  10129172       164
04:09:22 PM 183424368 192064236   2937708      1.49    183988   9434424   3590260      1.75    913288  10129296       212
04:10:22 PM 183426312 192066260   2935708      1.49    184052   9434436   3593640      1.75    913356  10130252       432
04:11:22 PM 183423556 192063564   2938188      1.49    184108   9434444   3588168      1.75    913404  10127812       136
