Bzy_MHz	TSC_MHz	CoreTmp	PkgWatt
890	2200	26	60.26
877	2200	26	60.86
887	2200	26	60.15
907	2200	26	59.92
973	2200	27	60.14
2052	2200	26	55.61
2353	2200	27	96.45
967	2200	27	58.40
899	2200	26	59.20
879	2200	26	60.13
891	2200	26	60.49
881	2200	26	59.86
891	2200	26	60.71
874	2200	27	60.16
892	2200	26	60.08
894	2200	27	60.55
861	2200	26	60.22
887	2200	27	61.43
895	2200	26	60.01
864	2200	27	60.61
861	2200	27	61.09
879	2200	27	60.41
884	2200	26	60.32
900	2200	28	60.57
2017	2200	28	55.25
2421	2200	32	93.18
1378	2200	27	61.87
887	2200	27	59.55
886	2200	27	60.76
874	2200	27	61.25
877	2200	27	60.77
894	2200	27	60.72
882	2200	27	59.97
876	2200	27	60.32
889	2200	27	60.35
875	2200	27	60.91
897	2200	27	61.43
879	2200	27	60.22
877	2200	27	60.83
877	2200	27	60.91
889	2200	27	60.14
1310	2200	29	61.38
1919	2200	29	53.64
2359	2200	28	96.80
971	2200	28	58.71
899	2200	28	60.06
875	2200	28	60.74
880	2200	28	61.22
892	2200	28	60.33
897	2200	28	61.43
860	2200	27	60.96
883	2200	28	61.01
887	2200	27	61.33
885	2200	27	60.87
870	2200	27	60.22
881	2200	27	61.21
895	2200	27	59.79
857	2200	28	60.58
874	2200	28	60.97
876	2200	27	60.90
878	2200	27	60.01
917	2200	30	60.92
2030	2200	27	55.30
2425	2200	34	91.65
1552	2200	27	64.85
884	2200	28	59.63
881	2200	28	60.74
871	2200	28	61.07
878	2200	28	60.32
877	2200	27	61.48
851	2200	28	60.54
875	2200	28	60.95
880	2200	27	60.27
880	2200	28	61.15
877	2200	27	61.20
878	2200	28	59.96
880	2200	27	60.86
880	2200	28	60.34
881	2200	27	59.72
851	2200	27	60.47
1404	2200	28	61.83
1906	2200	28	54.16
2324	2200	28	96.40
1000	2200	28	59.89
884	2200	28	60.32
881	2200	28	60.56
873	2200	28	61.72
893	2200	28	60.95
900	2200	28	61.59
869	2200	28	61.94
898	2200	28	61.55
880	2200	27	60.60
913	2200	28	60.93
875	2200	27	62.52
874	2200	27	60.13
883	2200	28	61.17
878	2200	28	60.72
854	2200	27	61.61
872	2200	28	60.83
893	2200	28	60.10
862	2200	28	61.04
997	2200	31	60.09
2102	2200	28	55.53
2410	2200	29	97.29
1001	2200	28	58.49
883	2200	28	60.12
881	2200	28	60.43
858	2200	28	60.87
899	2200	28	60.42
888	2199	28	60.76
873	2201	28	61.40
871	2200	28	61.01
897	2200	28	60.06
860	2200	28	61.41
866	2200	28	60.92
875	2200	28	60.51
868	2200	28	61.02
849	2200	27	60.80
865	2200	27	61.30
881	2200	27	60.57
845	2200	28	60.79
1536	2200	27	61.34
1963	2200	27	54.14
2326	2200	28	96.40
984	2200	28	60.27
905	2200	28	59.72
896	2200	28	60.08
858	2200	28	61.03
885	2200	28	60.25
890	2200	28	60.43
903	2200	28	60.77
856	2200	28	61.83
888	2200	28	61.98
898	2200	28	62.66
906	2200	28	60.57
868	2200	28	60.14
874	2200	28	61.16
884	2200	28	60.99
901	2200	27	60.52
868	2200	28	61.23
873	2200	27	60.70
887	2200	28	59.39
882	2200	27	60.03
866	2200	27	60.52
1758	2200	27	59.39
2401	2200	35	63.66
2205	2200	30	87.43
1011	2200	28	59.80
914	2200	28	60.31
867	2200	28	61.12
872	2200	28	59.83
888	2200	28	60.00
902	2200	28	59.27
855	2200	28	61.09
882	2200	27	61.20
897	2200	28	61.64
898	2200	28	59.68
879	2200	28	60.23
885	2200	27	60.45
886	2200	27	60.70
876	2200	28	60.44
850	2200	27	61.33
869	2200	27	61.59
895	2200	28	59.14
849	2200	27	60.50
997	2200	29	60.36
2083	2200	30	55.46
