procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 498890752 208452 12541324    0    0     0   125 59678 143711  1  1 98  0  0
 2  0      0 498924576 208468 12541592    0    0     0   117 58560 146198  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 498863072 208484 12541920    0    0     0    86 60007 146215  1  1 98  0  0
 3  0      0 498807776 208500 12542628    0    0     0   259 61110 144061  1  1 98  0  0
 4  0      0 498780288 208512 12542792    0    0     0   133 60223 144585  1  1 98  0  0
 4  0      0 498708128 208528 12543392    0    0     0   126 58802 146079  1  1 98  0  0
 3  0      0 498628992 208544 12542684    0    0     0   120 59812 145681  1  1 98  0  0
 4  1      0 503606464 209032 9204608    0    0     9   650 49057 99361 12  7 80  0  0
 1  0      0 499745664 209048 12238296    0    0     0   130 65713 157074  1  2 97  0  0
 3  0      0 499366112 209064 12238952    0    0     0   156 65217 143935  1  1 98  0  0
 4  0      0 499141600 209080 12323300    0    0     0    93 61291 146471  1  1 98  0  0
 3  0      0 498941536 209096 12360820    0    0     0   107 61790 145208  1  1 98  0  0
