Linux 5.15.0-131-generic (node0.parthaw-244253.hyflowtm-pg0.clemson.cloudlab.us) 	03/01/2025 	_x86_64_	(48 CPU)

11:14:19 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:30:39 PM 250519752 251310308   6482308      2.46    164984   6380008  39830184     14.62    684240  11391512       404
11:30:49 PM 250702424 251493284   6299012      2.39    164996   6380200  39642656     14.55    684252  11194360       420
11:30:59 PM 250658448 251449836   6264764      2.37    165000   6459252  39704064     14.58    684256  11244460       360
11:31:09 PM 250597860 251389548   6326428      2.40    165016   6459448  39744584     14.59    684272  11320012       512
11:31:19 PM 250572772 251364496   6352264      2.41    165028   6459616  39769440     14.60    684280  11340712       468
11:31:29 PM 250531036 251323008   6390256      2.42    165044   6459796  39772956     14.60    684296  11345624       392
11:31:39 PM 250523500 251315728   6398128      2.42    165060   6459984  39809316     14.61    684312  11391104       344
11:31:49 PM 255349228 256142504   5918020      2.24    165276   2118740  35805208     13.14    684696   6746028       712
11:31:59 PM 251387568 252181968   5946804      2.25    165292   6047784  39169456     14.38    684556  10624128       464
11:32:09 PM 251095304 251889912   6098520      2.31    165312   6187744  39433212     14.48    684576  10886428       232
11:32:19 PM 250789804 251584588   6405944      2.43    165328   6187916  39590260     14.53    684592  11125012       216
11:32:29 PM 250919920 251714864   6272824      2.38    165344   6188100  39491812     14.50    684608  11014948       116
11:32:39 PM 250862544 251657728   6332980      2.40    165360   6188288  39563964     14.52    684624  11073436       124
11:32:49 PM 250778940 251574560   6414844      2.43    165380   6188744  39624252     14.55    684640  11122140       528
11:32:59 PM 250585688 251381524   6606032      2.50    165388   6188924  39793020     14.61    684648  11342368       244
11:33:09 PM 250662556 251458580   6528568      2.47    165404   6189084  39759032     14.60    684664  11300124        56
11:33:19 PM 250664756 251460988   6528620      2.47    165448   6189252  39768396     14.60    684704  11285768        40
11:33:29 PM 250660132 251456628   6530032      2.47    165532   6189420  39782468     14.60    684780  11300784       248
11:33:39 PM 250519604 251316384   6673596      2.53    165576   6189620  39845760     14.63    684836  11405572       416
11:33:49 PM 250530288 251327528   6620700      2.51    165588   6231280  39825396     14.62    684852  11381360       892
11:33:59 PM 250638360 251435884   6512556      2.47    165600   6231468  39757900     14.60    684860  11297376       248
11:34:09 PM 250634484 251432180   6517860      2.47    165616   6231628  39750892     14.59    684876  11288180       224
11:34:19 PM 250540228 251338140   6609368      2.50    165632   6231812  39777528     14.60    684896  11342168       388
11:34:29 PM 250566692 251364836   6584116      2.49    165648   6231992  39777848     14.60    684908  11352884       232
11:34:39 PM 259636728 260434968   1765712      0.67    165700   2011832   3407044      1.25    684748   2555456       380
11:34:49 PM 251269248 252069304   5863164      2.22    165868   6247876  39273384     14.42    685132  10719896       136
11:34:59 PM 250423412 251223832   6055688      2.29    165888   6901248  39899852     14.65    685152  11513868       300
11:35:09 PM 250155320 250956272   6166444      2.34    165900   7057656  40254592     14.78    685164  11800144       156
11:35:19 PM 249603644 250404912   6409068      2.43    165916   7368780  40660376     14.93    685180  12327536       140
11:35:29 PM 249689248 250490420   6321700      2.39    165932   7368940  40639240     14.92    685196  12250656       268
11:35:39 PM 249595400 250396924   6416052      2.43    165944   7370692  40752576     14.96    685208  12338276       132
11:35:49 PM 249498804 250300796   6510056      2.47    165960   7371168  40859208     15.00    685224  12400176       116
11:35:59 PM 249431008 250233172   6570860      2.49    165976   7374468  40843200     14.99    685240  12484912       116
11:36:09 PM 249501336 250303448   6496924      2.46    165988   7383916  40823272     14.99    685252  12433004       264
11:36:19 PM 249459424 250261960   6535456      2.48    166048   7384208  40840088     14.99    685312  12438688        88
11:36:29 PM 249133148 249936184   6713452      2.54    166136   7534384  41093240     15.09    685400  12746908        48
11:36:39 PM 249103760 249906736   6747324      2.56    166168   7534568  40876408     15.01    685432  12784468         8
11:36:49 PM 249272800 250076544   6570256      2.49    166184   7535120  40966652     15.04    685448  12596452       436
11:36:59 PM 249364080 250167928   6479268      2.45    166200   7535284  40818456     14.98    685468  12479368       372
11:37:09 PM 249381092 250184980   6462848      2.45    166212   7535424  40838512     14.99    685476  12509084       344
11:37:19 PM 249369932 250174060   6474928      2.45    166224   7535612  40850200     15.00    685488  12483256       512
11:37:29 PM 249270972 250075528   6575728      2.49    166240   7535772  40899832     15.01    685504  12585316       504
11:37:39 PM 249256520 250061032   6587544      2.50    166248   7535968  40953344     15.03    685512  12622268       396
11:37:49 PM 258047320 258852364   2035836      0.77    166268   3327756   9601172      3.52   1364904   3419040       628
11:37:59 PM 251450628 252257568   5889320      2.23    166480   6039444  38765504     14.23    685756  10570620       384
11:38:09 PM 250799416 251606572   6216680      2.35    166496   6363096  39559296     14.52    685772  11175692       156
11:38:19 PM 249863488 250670916   6402508      2.43    166516   7113340  40507668     14.87    685792  12076052       212
11:38:29 PM 249718836 250526464   6543556      2.48    166532   7113488  40681124     14.93    685804  12228280       132
11:38:39 PM 249651908 250460132   6607376      2.50    166548   7113652  40582628     14.90    686556  12206856       136
11:38:49 PM 249619304 250427312   6645556      2.52    166564   7113820  40664268     14.93    686572  12285968       128
11:38:59 PM 249548268 250357016   6660924      2.52    166576   7169028  40809660     14.98    686584  12384828       112
11:39:09 PM 249317368 250126064   6890460      2.61    166600   7169200  40952144     15.03    686604  12608384       136
11:39:19 PM 249327256 250136096   6883016      2.61    166620   7169360  40972984     15.04    686628  12625416       148
11:39:29 PM 249368252 250177324   6839628      2.59    166668   7169520  40984684     15.05    686676  12582776       256
11:39:39 PM 249170360 249979820   7040088      2.67    166744   7169684  41012056     15.06    686748  12698900        60
11:39:49 PM 249123812 249933336   7085488      2.68    166792   7169856  41082384     15.08    686796  12760496        40
11:39:59 PM 248989620 249799800   6970972      2.64    166812   7415684  41276824     15.15    686820  12924772         4
11:40:09 PM 249080356 249891012   6876528      2.60    166828   7415844  41152984     15.11    686836  12807764       496
11:40:19 PM 249063160 249873920   6897112      2.61    166840   7416020  41138252     15.10    686848  12811944       332
11:40:29 PM 249049524 249860352   6918152      2.62    166856   7416188  40915468     15.02    686864  12859904       324
11:40:39 PM 249034472 249845660   6928908      2.62    166868   7416360  41172928     15.11    686876  12841588       524
11:40:49 PM 248995688 249806940   6965568      2.64    166880   7416508  41168232     15.11    686888  12858556       332
11:40:59 PM 258582136 259393764   2800596      1.06    166932   2022816   5615760      2.06    686948   3650660       244
11:41:09 PM 250083224 250896888   5983844      2.27    167120   7309644  40357016     14.82    687300  11922636       412
11:41:19 PM 249316240 250130716   6172700      2.34    167140   7884040  40958468     15.04    687316  12684088       416
11:41:29 PM 248564064 249379204   6393632      2.42    167156   8417548  41719440     15.32    687332  13363204       320
11:41:39 PM 248290140 249106192   6664308      2.52    167172   8417668  41824920     15.35    687348  13596564       244
11:41:49 PM 248324212 249139532   6634268      2.51    167188   8417840  41823244     15.35    687364  13568940       276
11:41:59 PM 248369488 249185708   6586288      2.49    167204   8418008  41880804     15.37    687380  13541900       272
11:42:09 PM 248042036 248858640   6799644      2.58    167220   8533620  42131144     15.47    687396  13889608       304
11:42:19 PM 247900864 248717636   6938528      2.63    167232   8533748  42242100     15.51    687408  13979312       120
11:42:29 PM 248006072 248822640   6838036      2.59    167248   8533920  42215504     15.50    687424  13895004       164
11:42:39 PM 247948496 248765808   6891336      2.61    167284   8534084  42160048     15.48    687456  13933988       116
11:42:49 PM 247912048 248729316   6929116      2.62    167336   8534260  42249912     15.51    687512  13976928       120
11:42:59 PM 247799748 248617184   7038696      2.67    167392   8534460  42382748     15.56    687568  14102300       120
11:43:09 PM 247758472 248576692   7081048      2.68    167420   8534988  42308500     15.53    687596  14098944       152
11:43:19 PM 247922688 248740996   6914548      2.62    167440   8535140  42193508     15.49    687616  13923912       364
11:43:29 PM 248069880 248888352   6769748      2.56    167456   8535276  42046764     15.44    687632  13825252       324
11:43:39 PM 248043828 248862312   6797224      2.57    167472   8535412  42048716     15.44    687648  13809752       304
11:43:49 PM 247957488 248776376   6879748      2.61    167488   8535568  42111224     15.46    687664  13934188       324
11:43:59 PM 247919384 248738436   6916708      2.62    167500   8535760  42105736     15.46    687676  13886908       404
11:44:09 PM 247968856 248788004   6869912      2.60    167516   8536260  42109280     15.46    687692  13883716       328
11:44:19 PM 247849524 248669484   6987276      2.65    167540   8536424  42185452     15.49    687716  14000180       392
11:44:29 PM 259557064 260375952   1821112      0.69    167588   2028476   5777760      2.12    687556   2600596       240
11:44:39 PM 250181368 251002372   6092396      2.31    167772   7098528  40253420     14.78    687948  11766108       412
11:44:49 PM 248738372 249559872   6543412      2.48    167792   8089056  41490952     15.23    687968  13166096       256
11:44:59 PM 248502184 249323840   6784276      2.57    167808   8089220  41739548     15.32    687984  13371876       264
11:45:09 PM 248471268 249293072   6811020      2.58    167824   8089360  41827556     15.35    688000  13411916       244
