procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 247983808 167440 8783988    0    0     0   125 27259 112011  5  2 93  0  0
 4  0      0 248002720 167456 8783888    0    0     0   113 27827 112057  5  2 93  0  0
 5  0      0 247938000 167472 8784984    0    0     0   105 27201 113073  5  2 93  0  0
 1  0      0 248024624 167488 8784248    0    0     0   121 29080 115558  5  2 93  0  0
 2  0      0 248003216 167508 8784748    0    0     0   175 26858 124743  5  2 93  0  0
10  1      0 247921472 167532 8784708    0    0     0   137 28306 121783  5  2 93  0  0
 4  0      0 247880432 167540 8784676    0    0     0   108 30027 121520  5  2 93  0  0
81  0      0 255772704 167688 2460356    0    0     0   156 15122 49998 13  6 81  0  0
 6  0      0 250148960 167772 7346096    0    0     0   243 28675 128560 13  4 83  0  0
 2  0      0 248651088 167792 8336860    0    0     0   103 29005 128056  5  3 93  0  0
 2  0      0 248484608 167808 8337884    0    0     0    76 26294 113782  5  2 93  0  0
 5  0      0 248533600 167824 8337388    0    0     0    67 26358 114774  5  2 93  0  0
 8  0      0 248299568 167840 8454696    0    0     0   106 29645 125640  5  2 93  0  0
 1  0      0 248002176 167856 8639200    0    0     0   105 32220 127375  5  2 93  0  0
 2  0      0 247741744 167872 8831892    0    0     0   148 32275 122834  5  2 93  0  0
 7  0      0 247608944 167892 8831808    0    0     0   104 26994 124689  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 247504096 167916 8831680    0    0     0    89 27101 129871  5  2 93  0  0
 4  0      0 247496800 167956 8831292    0    0     0   114 27123 124366  5  2 93  0  0
 2  0      0 247474496 168056 8831688    0    0     0   104 32546 127354  5  2 93  0  0
 2  0      0 247313280 168084 8831916    0    0     0   147 29279 123409  5  2 93  0  0
 2  0      0 247388400 168100 9020388    0    0     0   186 27319 132726  5  2 92  0  0
 2  0      0 247502112 168112 9021456    0    0     0   133 27064 129417  5  2 93  0  0
 1  0      0 247474016 168128 9021224    0    0     0   129 26695 118667  5  2 93  0  0
 3  0      0 247383808 168144 9021008    0    0     0   114 26749 125607  5  2 93  0  0
 3  0      0 247297136 168160 9021220    0    0     0   108 30949 116150  5  2 93  0  0
 1  0      0 247334464 168172 9021224    0    0     0   117 26942 127217  5  2 93  0  0
 0  0      0 247588800 168188 9021344    0    0     0   136 16559 38677  1  1 98  0  0
 0  0      0 247601392 168196 9021344    0    0     0    42 14922 25371  0  0 99  0  0
 0  0      0 247605856 168212 9021348    0    0     0    24 15213 26160  1  0 99  0  0
 0  0      0 247611728 168228 9021356    0    0     0    20 14988 25523  1  0 99  0  0
 0  0      0 247620576 168244 9021360    0    0     0    37 14853 25380  0  0 99  0  0
 2  0      0 259328928 168320 2281040    0    0     0   141 14757 24935  2  3 95  0  0
 5  0      0 255644832 168524 2335024    0    0     0   259 15949 61272 22  3 74  0  0
 6  0      0 255447168 168608 2337392    0    0     0   234 22997 106617  8  2 90  0  0
 2  0      0 255366048 168684 2338960    0    0     0   270 23026 105306  8  2 90  0  0
 9  0      0 255326336 168704 2340116    0    0     0   195 23110 105933  8  2 90  0  0
 0  0      0 259615488 168732 2287816    0    0     0   193 21796 95344  7  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 255248992 168952 2394968    0    0     0   395 19227 74623 24  3 73  0  0
 7  0      0 255010272 169036 2399180    0    0     0   236 22678 99673  8  2 90  0  0
 2  0      0 254882784 169108 2400304    0    0     0   242 22798 101077  8  2 90  0  0
 4  0      0 254779648 169128 2401380    0    0     0   218 22629 98561  8  2 90  0  0
 3  0      0 254769088 169144 2402432    0    0     0   214 22657 97064  8  2 90  0  0
 3  0      0 255078496 169352 2450796    0    0     0   380 18258 67859 23  4 73  0  0
 4  0      0 254620960 169364 2457688    0    0     0   228 22462 98679  8  2 90  0  0
 4  0      0 254487008 169496 2458676    0    0     0   211 22533 96045  8  2 90  0  0
 5  0      0 254318656 169516 2459732    0    0     0   210 22538 96834  8  2 90  0  0
 8  0      0 254279712 169532 2464276    0    0     0   218 22576 95650  8  2 90  0  0
52  0      0 257942480 169576 2302612    0    0     0   165 15554 60382 11  3 86  0  0
 4  0      0 254344704 169748 2519452    0    0     0   339 25189 100774 21  3 76  0  0
 3  0      0 254160032 169856 2520388    0    0     0   235 22155 91594  8  2 89  0  0
 5  0      0 253805152 169896 2521328    0    0     0   121 22334 92435  8  2 90  0  0
 1  0      0 253721136 169912 2522316    0    0     0   227 22513 94599  8  2 90  0  0
 5  0      0 253666496 169928 2523272    0    0     0   218 22361 91851  8  2 90  0  0
10  0      0 255751680 170144 2390652    0    0     0   227 17381 62830 24  4 72  0  0
 6  0      0 253962656 170152 2572752    0    0     0   306 22794 79489  7  2 91  0  0
 5  0      0 253656800 170208 2575484    0    0     0   207 22098 80194  8  2 90  0  0
 5  0      0 253476864 170300 2576288    0    0     0   181 22317 82007  8  2 90  0  0
 3  0      0 253034528 170316 2577072    0    0     0   207 22265 81062  8  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 253079568 170320 2579748    0    0     0   204 22260 80422  8  2 91  0  0
 5  0      0 253047264 170328 2580832    0    0     0   188 22314 82650  8  2 90  0  0
70  0      0 255882848 170468 2357452    0    0     0   298 15211 41710 15  3 81  0  0
 1  0      0 253964368 170548 4118504    0    0     0   283 22404 66011 12  2 86  0  0
 2  0      0 253657328 170564 4352308    0    0     0   149 19760 56585  5  1 94  0  0
 1  0      0 253628432 170580 4352616    0    0     0   113 19601 55545  4  1 95  0  0
 3  0      0 253577120 170592 4352944    0    0     0   112 19793 55785  5  1 94  0  0
 1  0      0 253544896 170612 4358336    0    0     0   118 19672 55015  4  1 95  0  0
 2  0      0 253497728 170740 4358708    0    0     0    71 19679 55594  5  1 94  0  0
 1  0      0 253478624 170776 4374248    0    0     0   256 19637 55225  5  1 94  0  0
 1  0      0 253484816 170788 4374592    0    0     0   159 19715 56675  5  1 94  0  0
 3  0      0 253492464 170800 4374900    0    0     0   160 19682 55589  5  1 94  0  0
 4  0      0 253447216 170816 4375248    0    0     0   161 19544 55854  5  1 94  0  0
 5  0      0 254546048 171028 3592784    0    0     0   420 16820 48488 22  4 74  0  0
 3  0      0 253713664 171040 4260716    0    0     0   137 19333 56826  5  1 94  0  0
 5  0      0 253665184 171060 4261048    0    0     0   108 19711 58400  5  1 94  0  0
 1  0      0 253594928 171076 4261376    0    0     0   101 19818 57848  5  1 94  0  0
 1  0      0 253541392 171096 4261760    0    0     0   105 19828 57684  5  1 94  0  0
 1  0      0 253533648 171216 4262072    0    0     0   126 19800 57082  5  1 94  0  0
 4  0      0 253481792 171252 4271004    0    0     0   248 19770 56501  5  1 94  0  0
 2  0      0 253500336 171268 4279184    0    0     0   189 19792 56184  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 253466560 171284 4279508    0    0     0   156 19841 56982  5  1 94  0  0
 0  0      0 259497280 171340 2329948    0    0     0   176 17699 47556  4  2 94  0  0
 3  0      0 253401632 171516 4602648    0    0     0   247 18171 52073 22  3 75  0  0
 3  0      0 252776800 171536 5117092    0    0     0   120 18178 44816  4  1 95  0  0
 2  0      0 252501680 171548 5300812    0    0     0    95 18600 46515  4  1 95  0  0
 4  0      0 252441120 171564 5326060    0    0     0   115 18651 45866  4  1 95  0  0
 1  0      0 252438256 171580 5326276    0    0     0   115 18508 44975  4  1 95  0  0
 1  0      0 252344704 171596 5326476    0    0     0    99 18727 45733  4  1 95  0  0
 1  0      0 252327584 171612 5326972    0    0     0   144 18463 44403  4  1 95  0  0
 4  0      0 252308768 171628 5327152    0    0     0   112 18698 45623  4  1 95  0  0
 2  0      0 252277904 171716 5327344    0    0     0   133 18498 44560  4  1 95  0  0
 1  0      0 252231232 171772 5327568    0    0     0   147 18498 44639  4  1 95  0  0
 1  0      0 252216368 171780 5328556    0    0     0   148 18543 45557  4  1 95  0  0
 1  0      0 252338768 171792 5328764    0    0     0   122 18409 43819  4  1 95  0  0
 2  0      0 252309040 171808 5329412    0    0     0   165 18495 45582  4  1 95  0  0
 3  0      0 252273328 171820 5330384    0    0     0    91 18410 45143  4  1 95  0  0
 1  0      0 252294416 171836 5330588    0    0     0   110 18496 44113  4  1 95  0  0
 1  0      0 252245392 171852 5330804    0    0     0   141 18522 45588  4  1 95  0  0
 3  0      0 255077984 172080 3238744    0    0     0   334 16072 41768 21  4 75  0  0
 1  0      0 252741568 172096 5104956    0    0     0   126 18011 45086  4  1 95  0  0
 2  0      0 252560624 172116 5183312    0    0     0   112 18636 46628  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 252425312 172132 5259308    0    0     0   100 18714 46324  4  1 95  0  0
 1  0      0 252346768 172212 5306164    0    0     0   258 19245 46968  4  1 95  0  0
 2  0      0 252256464 172232 5346320    0    0     0   150 18703 46954  4  1 95  0  0
 1  0      0 252134720 172252 5346816    0    0     0   134 18858 46503  4  1 95  0  0
 7  0      0 252090352 172272 5347052    0    0     0   149 18661 46236  4  1 95  0  0
 1  0      0 252064080 172368 5347288    0    0     0   136 18624 45778  4  1 95  0  0
 3  0      0 252056032 172428 5347508    0    0     0   136 18648 46343  4  1 95  0  0
 2  0      0 252012176 172444 5398476    0    0     0   131 18725 46569  4  1 95  0  0
 2  0      0 252055296 172456 5398696    0    0     0   144 18656 46444  4  1 95  0  0
 2  0      0 252007680 172468 5399296    0    0     0   135 18689 46517  4  1 95  0  0
 2  0      0 251968528 172484 5410488    0    0     0   228 18727 45892  4  1 95  0  0
 1  0      0 256275440 172500 5324092    0    0     0   125 19018 45182  4  2 94  0  0
 6  0      0 251968000 172704 5867880    0    0     3   289 21563 86181 22  4 74  0  0
 6  0      0 251166592 172720 6516572    0    0     0   130 28084 142354  4  3 93  0  0
 1  0      0 250873184 172740 6601108    0    0     0   103 30900 139848  4  3 93  0  0
 2  0      0 250894128 172756 6601252    0    0     0   109 32028 128810  4  2 94  0  0
 2  0      0 250811616 172772 6601384    0    0     0    96 28966 125013  4  3 93  0  0
 3  1      0 250720960 172788 6601556    0    0     0    94 28656 126484  4  2 93  0  0
 1  0      0 250712480 172808 6602056    0    0     0   143 32332 127020  4  2 93  0  0
 2  0      0 250610704 172824 6602252    0    0     0   109 27449 129978  4  3 93  0  0
 4  0      0 250689184 172848 6602528    0    0     0   114 30174 138066  4  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
