2025-03-01 14:33:10 - +47.0°C
2025-03-01 14:33:11 - +48.0°C
2025-03-01 14:33:12 - +47.0°C
2025-03-01 14:33:13 - +48.0°C
2025-03-01 14:33:14 - +47.0°C
2025-03-01 14:33:15 - +47.0°C
2025-03-01 14:33:16 - +48.0°C
2025-03-01 14:33:17 - +47.0°C
2025-03-01 14:33:18 - +47.0°C
2025-03-01 14:33:20 - +47.0°C
2025-03-01 14:33:21 - +48.0°C
2025-03-01 14:33:22 - +47.0°C
2025-03-01 14:33:23 - +48.0°C
2025-03-01 14:33:24 - +48.0°C
2025-03-01 14:33:25 - +48.0°C
2025-03-01 14:33:26 - +47.0°C
2025-03-01 14:33:27 - +47.0°C
2025-03-01 14:33:28 - +47.0°C
2025-03-01 14:33:29 - +47.0°C
2025-03-01 14:33:30 - +47.0°C
2025-03-01 14:33:31 - +49.0°C
2025-03-01 14:33:32 - +48.0°C
2025-03-01 14:33:33 - +47.0°C
2025-03-01 14:33:34 - +48.0°C
2025-03-01 14:33:35 - +48.0°C
2025-03-01 14:33:36 - +47.0°C
2025-03-01 14:33:37 - +47.0°C
2025-03-01 14:33:38 - +48.0°C
2025-03-01 14:33:39 - +48.0°C
2025-03-01 14:33:40 - +48.0°C
2025-03-01 14:33:41 - +47.0°C
2025-03-01 14:33:42 - +48.0°C
2025-03-01 14:33:43 - +48.0°C
2025-03-01 14:33:44 - +47.0°C
2025-03-01 14:33:45 - +48.0°C
2025-03-01 14:33:46 - +48.0°C
2025-03-01 14:33:47 - +48.0°C
2025-03-01 14:33:48 - +46.0°C
2025-03-01 14:33:50 - +48.0°C
2025-03-01 14:33:51 - +48.0°C
2025-03-01 14:33:52 - +47.0°C
2025-03-01 14:33:53 - +48.0°C
2025-03-01 14:33:54 - +48.0°C
2025-03-01 14:33:55 - +47.0°C
2025-03-01 14:33:56 - +48.0°C
2025-03-01 14:33:57 - +49.0°C
2025-03-01 14:33:58 - +49.0°C
2025-03-01 14:33:59 - +49.0°C
2025-03-01 14:34:00 - +48.0°C
2025-03-01 14:34:01 - +47.0°C
2025-03-01 14:34:02 - +47.0°C
2025-03-01 14:34:03 - +48.0°C
2025-03-01 14:34:04 - +48.0°C
2025-03-01 14:34:05 - +47.0°C
2025-03-01 14:34:06 - +48.0°C
2025-03-01 14:34:07 - +48.0°C
2025-03-01 14:34:08 - +48.0°C
2025-03-01 14:34:09 - +48.0°C
2025-03-01 14:34:10 - +47.0°C
2025-03-01 14:34:11 - +48.0°C
2025-03-01 14:34:12 - +48.0°C
2025-03-01 14:34:13 - +48.0°C
2025-03-01 14:34:14 - +48.0°C
2025-03-01 14:34:15 - +47.0°C
2025-03-01 14:34:16 - +47.0°C
2025-03-01 14:34:18 - +47.0°C
2025-03-01 14:34:19 - +48.0°C
2025-03-01 14:34:20 - +47.0°C
2025-03-01 14:34:21 - +48.0°C
2025-03-01 14:34:22 - +47.0°C
2025-03-01 14:34:23 - +47.0°C
2025-03-01 14:34:24 - +46.0°C
2025-03-01 14:34:25 - +47.0°C
2025-03-01 14:34:26 - +47.0°C
2025-03-01 14:34:27 - +48.0°C
2025-03-01 14:34:28 - +48.0°C
2025-03-01 14:34:29 - +48.0°C
2025-03-01 14:34:30 - +47.0°C
2025-03-01 14:34:31 - +47.0°C
2025-03-01 14:34:32 - +47.0°C
2025-03-01 14:34:33 - +46.0°C
2025-03-01 14:34:34 - +47.0°C
2025-03-01 14:34:35 - +47.0°C
2025-03-01 14:34:36 - +47.0°C
2025-03-01 14:34:37 - +48.0°C
2025-03-01 14:34:38 - +47.0°C
2025-03-01 14:34:39 - +47.0°C
2025-03-01 14:34:40 - +47.0°C
2025-03-01 14:34:41 - +47.0°C
2025-03-01 14:34:42 - +46.0°C
2025-03-01 14:34:43 - +47.0°C
2025-03-01 14:34:44 - +47.0°C
2025-03-01 14:34:45 - +47.0°C
2025-03-01 14:34:47 - +47.0°C
2025-03-01 14:34:48 - +47.0°C
2025-03-01 14:34:49 - +47.0°C
2025-03-01 14:34:50 - +47.0°C
2025-03-01 14:34:51 - +48.0°C
2025-03-01 14:34:52 - +47.0°C
2025-03-01 14:34:53 - +48.0°C
2025-03-01 14:34:54 - +48.0°C
2025-03-01 14:34:55 - +47.0°C
2025-03-01 14:34:56 - +48.0°C
2025-03-01 14:34:57 - +47.0°C
2025-03-01 14:34:58 - +47.0°C
